	Unnamed: 0	TGrepID	Question	Every	A	The	Other	Wh	ModalPresent	PrecedingContext
0	121	24525:28	well, how do you, how do you feel  about, uh, companies drug testing prior to  hiring?	0.1477272727272727	0.0168181818181818	0.730909090909091	0.1045454545454545	how	0	uh-huh.i definitely think  they should be tested  i'm not, i'm not opposed to any testing.i mean because i know  i certainly wouldn't want  to, to, uh, you know, be endangered  by somebody in a company that  accidentally dropped something on me or, or you know, because he was on drugs while he was there.yeah.uh... 
1	314	124701:9	well, what would  be your advice to a parent of a child thinking of  attending college?	0.175	0.406	0.2879999999999999	0.131	what	1	and so there's only certain times  you can talk to him  you could get thereand his office hours could, i mean he could have like a nine to eleven in the morning office hours and have forty-two people waiting  to talk to him,and you still didn't get  to talk to him anyway.right,yeah. 
2	379	109245:9	well, where do you take those things 	0.151578947368421	0.2094736842105263	0.6294736842105263	0.0094736842105263	where	0	 and, and we didn't recycle at all before we cameuh-huh.so i think  we're doing well. we, we save most of our aluminum cans and glass and newspaper right now.uh-huh. 
3	6	15539:4	what have you seen  lately?	0.4755555555555555	0.2333333333333333	0.2827777777777778	0.0077777777777777	what	0	uh-huh.uh-huh.but it was a very good movie.uh-huh.well, i guess  i will have  to see it then. 
4	807	148861:4	where do you buy your tole painting paints at  around here?	0.1519047619047619	0.2023809523809523	0.6423809523809523	0.0033333333333333	where	0	uh-huh.so i think  you'll enjoy  doing it.yeah.it's fun. sounds fun. 
5	337	123033:11	and, and how will you, make that actually happen 	0.1405	0.2825	0.575	0.002	how	1	 and, and i, i, i really feel  that, that, that is part of the problem that we, we've let things get so out of control that, that we don't want  to put the brakes on them.but wha-, what practical steps could on-, could one take  by, by  having a, a, a budget that  is, is feasible, that  is reasonable.well, but everybody will say that he is for that.uh, 
6	324	86224:4	when were you there 	0.0315	0.143	0.7755	0.05	when	0	if you don't like wildlife it's probably not of interest.but it, that was really, really fabulousand just the photos  i have  of itand gosh, incredibleand  be so close,now when was that  
7	298	61578:4	how are your kids handling it 	0.2319047619047619	0.3038095238095237	0.3652380952380952	0.099047619047619	how	0	no, i, i know,i mean he's always, you know, he really does have a good home.i think  that's what  really bothers me the most about it.yeah.you know, it's like, 
8	426	98545:9	and so how do you relate as to whether this particular armed robbery was a, you know, worth five years or twenty-five 	0.0679999999999999	0.212	0.596	0.124	how	0	right.uh, that, uh,when i only do something one, two or three times  i'm hardly an expert on it,and most juries over a period of five or ten years you might sit on three.yeahand, 
9	978	141164:7	so what do you feel   are the current trends in the way  families spend time in general, you know, in america 	0.5755	0.2075	0.1169999999999999	0.1	what	0	yeah.and then, of course, they have a pretty, um, busy social calendar too.uh-huh.you fit it in with all that, that.yeah. 
10	787	115953:33	you know, how can you, how can you justify  raising anybody's salary if you, you know, if you have  to lay people off 	0.1538095238095238	0.319047619047619	0.3238095238095238	0.2033333333333333	how	1	but, this, you know, this, uh,i think   living in richardson, we're kind of spoiled because i think  we get, we come closer to  getting our money's worth as far as the city is concerned, i think than probably any, any city in the country.yes,well, did you read in the dallas paper where they increased the teach-, the administrators' pay by thirty three percent after they laid off all those teachers  that incredible? that's, that's the biggest mess  i've ever heard of  
11	766	132650:4	what are we having 	0.4794736842105264	0.1705263157894736	0.2842105263157894	0.0657894736842105	what	0	so that's a lot of the games that politicians play  on where they want  to go  you know,  tax things that they don't, you know, to a degree,well, like booze, you know, example, they keep  raising the taxes on booze,it gets to the point, you know,  it makes drunks sober  you know.they quit  buying it.well, what, what about the taxes on cigarettes?what are you guys having  for christmas? 
12	371	121515:4	how does that sound 	0.0347368421052631	0.1894736842105263	0.3084210526315789	0.4673684210526316	how	0	uh-huh.and then we'd have, um, like a big greek tossed salad kind of like a caesar salad.uh-huh.and, um,  let's see what else.um, maybe some rolls and, um, i guess  some, uh, some rice or something like that. 
13	226	11794:4	what do you think 	0.3557894736842105	0.2563157894736842	0.2005263157894736	0.1873684210526315	what	0	bye, bye.okay.bye-bye.okay, uh,could you tell me what you think   contributes most to, uh, air pollution?well, it's hard   to say  mean, while it  certainly the case that things like automobiles and factories, uh, pollute a lot, uh, if you look at how much pollution  is say kicked  up by an active volcano, uh, it  certainly less than clear that anything  man can do  in this sort of scale of things has much effect at all. 
14	535	171763:102	what  hasn't come in yet	0.6547368421052632	0.151578947368421	0.123157894736842	0.0705263157894736	what	0	uh-huh.you know, i keep track of every penny. and, more or less, enter it in.uh-huh.every single day i'm at the computer.i see. and, it's like, okay, what  do we have  left, what do we have  to pay  what have we paid  this month. , you know.
15	925	100218:4	what  does that house got  attraction?	0.0994736842105263	0.0463157894736842	0.2421052631578947	0.6121052631578948	what	0	yeah.oh it's tough,it really is  from the child's standpoint.the child is going, why don't you want  to be close to me and your other family  
16	193	23571:9	um, what is that called  	0.0013636363636363	0.1581818181818181	0.8345454545454545	0.0059090909090908	what	0	but, uh, you know, that whole biblical concept like that, that's true in a lot of our,um, you know, the, the way  the whole judicial system and the government is based  on that  doesn't work on that,but it's based  out of that. and, uh, so that, you know, that could work,yes,i'd forgotten what that's called   a, a real name for that like the judean law, or something like that. 
17	277	168933:102	what recourse do you have 	0.2452380952380952	0.2557142857142856	0.3109523809523809	0.1880952380952381	what	0	huh. uh-huh.and, uh, they instituted a drug policy there. drug testing policy where they randomly would test, uh, employees  actually,  to tell you the truth, i really did not think much about it. i, i hadn't  you know,it really didn't relate to me. but there were some things  that people brought  up like well what  happens if they, they get a false positive, you know, .
18	130	134609:4	what does that mean  accidental tomatoes?	0.0213636363636363	0.1995454545454545	0.6318181818181818	0.1468181818181818	what	0	oh, i love home gro-, grown tomatos.yeah.there's nothing like them.they just don't have the same ones in the supermarket.well, these are accidental tomatos. 
19	158	111690:4	who  knows	0.1519047619047619	0.0519047619047619	0.0161904761904761	0.7800000000000001	who	0	yeah,oh, i agree,i agree,because we, i think, uh, i think  if i wanted  to  badly enough, i could convince somebody, uh,  i was crazy,so, my family may say that on occasion, 
20	339	58060:20	and, and what were we trying  to do 	0.1505	0.0854999999999999	0.579	0.185	what	0	no,there was no feeling of accomplishment, no goal,no,no.we went inbut what did we do  lost lives 
